Customer ID,Customer Type
421,medium budget
422,low budget
426,low budget
427,low budget
428,low budget
428,low budget
428,low budget
428,low budget
428,low budget
430,medium budget
432,low budget
433,low budget
434,low budget
435,low budget
436,low budget
436,low budget
438,medium budget
440,low budget
441,low budget
442,luxury/high budget
442,low budget
443,low budget
444,low budget
445,low budget
446,low budget
447,low budget
448,low budget
449,medium budget
450,low budget
450,low budget
451,low budget
451,medium budget
451,low budget
451,low budget
451,low budget
451,low budget
452,low budget
453,low budget
453,low budget
453,low budget
453,low budget
454,medium budget
455,low budget
457,medium budget
458,medium budget
459,low budget
461,low budget
462,low budget
462,low budget
463,low budget
464,medium budget
465,low budget
466,low budget
467,low budget
467,low budget
468,low budget
469,low budget
470,low budget
471,low budget
471,low budget
472,low budget
474,low budget
475,low budget
476,low budget
476,low budget
477,medium budget
478,low budget
479,low budget
480,low budget
481,medium budget
482,low budget
483,low budget
484,low budget
485,low budget
486,medium budget
488,medium budget
489,medium budget
490,low budget
491,low budget
491,low budget
493,low budget
494,luxury/high budget
495,medium budget
496,low budget
497,low budget
498,medium budget
499,low budget
501,low budget
502,medium budget
502,medium budget
503,low budget
503,low budget
503,low budget
504,medium budget
505,low budget
506,luxury/high budget
507,low budget
508,medium budget
509,medium budget
510,low budget
511,medium budget
512,low budget
513,low budget
514,medium budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
515,low budget
515,low budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
515,low budget
515,low budget
515,low budget
515,low budget
515,low budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
515,medium budget
516,low budget
517,medium budget
520,medium budget
520,medium budget
520,medium budget
520,low budget
522,low budget
522,low budget
523,medium budget
527,low budget
528,low budget
529,low budget
530,low budget
531,low budget
531,low budget
532,low budget
533,medium budget
534,medium budget
535,low budget
536,medium budget
537,medium budget
538,low budget
539,low budget
539,low budget
539,low budget
539,low budget
539,low budget
543,low budget
544,low budget
546,low budget
548,low budget
550,medium budget
550,medium budget
550,medium budget
550,low budget
551,low budget
552,low budget
552,low budget
553,low budget
554,low budget
554,low budget
556,low budget
558,medium budget
559,low budget
560,low budget
560,low budget
561,medium budget
562,low budget
562,low budget
564,low budget
565,low budget
566,low budget
568,low budget
569,medium budget
571,low budget
572,medium budget
573,low budget
574,low budget
575,low budget
576,low budget
577,medium budget
578,low budget
579,low budget
